MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
011804	3.53E-05	19.6	0.25	-4.51E-02	3.7
011805	3.53E-05	19.6	0.25	-4.51E-02	3.7
011806	3.53E-05	19.6	0.25	-4.51E-02	3.7
011807	3.53E-05	19.6	0.25	-4.51E-02	3.7
011808	3.53E-05	19.6	0.25	-4.51E-02	3.7
011809	3.53E-05	19.6	0.25	-4.51E-02	3.7
011810	3.53E-05	19.6	0.25	-4.51E-02	3.7
011811	3.53E-05	19.6	0.25	-4.51E-02	3.7
011812	3.53E-05	19.6	0.25	-4.51E-02	3.7
011813	3.53E-05	19.6	0.25	-4.51E-02	3.7
011814	3.53E-05	19.6	0.25	-4.51E-02	3.7
011815	3.53E-05	19.6	0.25	-4.51E-02	3.7
011816	3.53E-05	19.6	0.25	-4.51E-02	3.7
011817	3.53E-05	19.6	0.25	-4.51E-02	3.7
011818	3.53E-05	19.6	0.25	-4.51E-02	3.7
011819	3.53E-05	19.6	0.25	-4.51E-02	3.7
011820	3.53E-05	19.6	0.25	-4.51E-02	3.7
011821	3.53E-05	19.6	0.25	-4.51E-02	3.7
011822	3.53E-05	19.6	0.25	-4.51E-02	3.7
011823	3.53E-05	19.6	0.25	-4.51E-02	3.7
011824	3.53E-05	19.6	0.25	-4.51E-02	3.7
011901	3.53E-05	19.6	0.25	-4.51E-02	3.7
011902	3.53E-05	19.6	0.25	-4.51E-02	3.7
011903	3.53E-05	19.6	0.25	-4.51E-02	3.7
011904	3.53E-05	19.6	0.25	-4.51E-02	3.7
011905	3.53E-05	19.6	0.25	-4.51E-02	3.7
011906	3.53E-05	19.6	0.25	-4.51E-02	3.7
011907	3.53E-05	19.6	0.25	-4.51E-02	3.7
011908	3.53E-05	19.6	0.25	-4.51E-02	3.7
011909	3.53E-05	19.6	0.25	-4.51E-02	3.7
011910	3.53E-05	19.6	0.25	-4.51E-02	3.7
011911	3.53E-05	19.6	0.25	-4.51E-02	3.7
011912	3.53E-05	19.6	0.25	-4.51E-02	3.7
011913	3.53E-05	19.6	0.25	-4.51E-02	3.7
011914	3.53E-05	19.6	0.25	-4.51E-02	3.7
011915	3.53E-05	19.6	0.25	-4.51E-02	3.7
011916	3.53E-05	19.6	0.25	-4.51E-02	3.7
011917	3.53E-05	19.6	0.25	-4.51E-02	3.7
011918	3.53E-05	19.6	0.25	-4.51E-02	3.7
011919	3.53E-05	19.6	0.25	-4.51E-02	3.7
011920	3.53E-05	19.6	0.25	-4.51E-02	3.7
011921	3.53E-05	19.6	0.25	-4.51E-02	3.7
011922	3.53E-05	19.6	0.25	-4.51E-02	3.7
011923	3.53E-05	19.6	0.25	-4.51E-02	3.7
011924	3.53E-05	19.6	0.25	-4.51E-02	3.7
